,City,Province,Price,Date
1,St. John's,Newfoundland and Labrador,120.3,Jan-2018
2,Charlottetown and Summerside,Prince Edward Island,115.3,Jan-2018
3,Halifax,Nova Scotia,115.2,Jan-2018
4,Saint John,New Brunswick,114.1,Jan-2018
5,Québec,Quebec,118.8,Jan-2018
6,Montréal,Quebec,127.6,Jan-2018
7,Ottawa,Ontario,124.4,Jan-2018
8,Toronto,Ontario,124.5,Jan-2018
9,Thunder Bay,Ontario,123.9,Jan-2018
10,Winnipeg,Manitoba,107.0,Jan-2018
11,Regina,Saskatchewan,105.9,Jan-2018
12,Saskatoon,Saskatchewan,107.4,Jan-2018
13,Edmonton,Alberta,107.5,Jan-2018
14,Calgary,Alberta,112.1,Jan-2018
15,Vancouver,British Columbia,141.7,Jan-2018
16,Victoria,British Columbia,129.6,Jan-2018
17,Whitehorse,Yukon,121.4,Jan-2018
18,Yellowknife,Northwest Territories,123.1,Jan-2018
20,St. John's,Newfoundland and Labrador,121.8,Feb-2018
21,Charlottetown and Summerside,Prince Edward Island,115.5,Feb-2018
22,Halifax,Nova Scotia,114.1,Feb-2018
23,Saint John,New Brunswick,113.9,Feb-2018
24,Québec,Quebec,119.3,Feb-2018
25,Montréal,Quebec,127.5,Feb-2018
26,Ottawa,Ontario,119.6,Feb-2018
27,Toronto,Ontario,123.6,Feb-2018
28,Thunder Bay,Ontario,122.7,Feb-2018
29,Winnipeg,Manitoba,104.2,Feb-2018
30,Regina,Saskatchewan,103.5,Feb-2018
31,Saskatoon,Saskatchewan,103.5,Feb-2018
32,Edmonton,Alberta,104.0,Feb-2018
33,Calgary,Alberta,110.6,Feb-2018
34,Vancouver,British Columbia,144.5,Feb-2018
35,Victoria,British Columbia,134.9,Feb-2018
36,Whitehorse,Yukon,121.4,Feb-2018
37,Yellowknife,Northwest Territories,122.9,Feb-2018
39,St. John's,Newfoundland and Labrador,122.1,Mar-2018
40,Charlottetown and Summerside,Prince Edward Island,116.9,Mar-2018
41,Halifax,Nova Scotia,114.0,Mar-2018
42,Saint John,New Brunswick,113.9,Mar-2018
43,Québec,Quebec,123.4,Mar-2018
44,Montréal,Quebec,130.0,Mar-2018
45,Ottawa,Ontario,125.8,Mar-2018
46,Toronto,Ontario,126.1,Mar-2018
47,Thunder Bay,Ontario,123.6,Mar-2018
48,Winnipeg,Manitoba,106.9,Mar-2018
49,Regina,Saskatchewan,108.1,Mar-2018
50,Saskatoon,Saskatchewan,109.4,Mar-2018
51,Edmonton,Alberta,111.3,Mar-2018
52,Calgary,Alberta,115.3,Mar-2018
53,Vancouver,British Columbia,151.4,Mar-2018
54,Victoria,British Columbia,143.2,Mar-2018
55,Whitehorse,Yukon,121.4,Mar-2018
56,Yellowknife,Northwest Territories,122.9,Mar-2018
58,St. John's,Newfoundland and Labrador,131.0,Apr-2018
59,Charlottetown and Summerside,Prince Edward Island,123.5,Apr-2018
60,Halifax,Nova Scotia,124.2,Apr-2018
61,Saint John,New Brunswick,122.9,Apr-2018
62,Québec,Quebec,131.7,Apr-2018
63,Montréal,Quebec,137.9,Apr-2018
64,Ottawa,Ontario,133.6,Apr-2018
65,Toronto,Ontario,133.7,Apr-2018
66,Thunder Bay,Ontario,135.4,Apr-2018
67,Winnipeg,Manitoba,121.1,Apr-2018
68,Regina,Saskatchewan,116.9,Apr-2018
69,Saskatoon,Saskatchewan,117.6,Apr-2018
70,Edmonton,Alberta,122.5,Apr-2018
71,Calgary,Alberta,125.2,Apr-2018
72,Vancouver,British Columbia,155.1,Apr-2018
73,Victoria,British Columbia,147.2,Apr-2018
74,Whitehorse,Yukon,130.9,Apr-2018
75,Yellowknife,Northwest Territories,128.9,Apr-2018
77,St. John's,Newfoundland and Labrador,137.1,May-2018
78,Charlottetown and Summerside,Prince Edward Island,131.3,May-2018
79,Halifax,Nova Scotia,130.4,May-2018
80,Saint John,New Brunswick,128.9,May-2018
81,Québec,Quebec,136.6,May-2018
82,Montréal,Quebec,142.7,May-2018
83,Ottawa,Ontario,136.9,May-2018
84,Toronto,Ontario,137.3,May-2018
85,Thunder Bay,Ontario,141.7,May-2018
86,Winnipeg,Manitoba,125.1,May-2018
87,Regina,Saskatchewan,123.7,May-2018
88,Saskatoon,Saskatchewan,123.1,May-2018
89,Edmonton,Alberta,127.5,May-2018
90,Calgary,Alberta,129.6,May-2018
91,Vancouver,British Columbia,159.9,May-2018
92,Victoria,British Columbia,153.9,May-2018
93,Whitehorse,Yukon,142.4,May-2018
94,Yellowknife,Northwest Territories,137.2,May-2018
96,St. John's,Newfoundland and Labrador,134.3,Jun-2018
97,Charlottetown and Summerside,Prince Edward Island,130.0,Jun-2018
98,Halifax,Nova Scotia,125.5,Jun-2018
99,Saint John,New Brunswick,125.7,Jun-2018
100,Québec,Quebec,131.7,Jun-2018
101,Montréal,Quebec,139.7,Jun-2018
102,Ottawa,Ontario,128.2,Jun-2018
103,Toronto,Ontario,134.6,Jun-2018
104,Thunder Bay,Ontario,140.6,Jun-2018
105,Winnipeg,Manitoba,125.3,Jun-2018
106,Regina,Saskatchewan,122.3,Jun-2018
107,Saskatoon,Saskatchewan,122.4,Jun-2018
108,Edmonton,Alberta,124.4,Jun-2018
109,Calgary,Alberta,127.1,Jun-2018
110,Vancouver,British Columbia,154.3,Jun-2018
111,Victoria,British Columbia,150.1,Jun-2018
112,Whitehorse,Yukon,144.9,Jun-2018
113,Yellowknife,Northwest Territories,141.7,Jun-2018
115,St. John's,Newfoundland and Labrador,134.9,Jul-2018
116,Charlottetown and Summerside,Prince Edward Island,128.9,Jul-2018
117,Halifax,Nova Scotia,126.2,Jul-2018
118,Saint John,New Brunswick,126.9,Jul-2018
119,Québec,Quebec,130.6,Jul-2018
120,Montréal,Quebec,137.6,Jul-2018
121,Ottawa,Ontario,129.5,Jul-2018
122,Toronto,Ontario,135.6,Jul-2018
123,Thunder Bay,Ontario,144.5,Jul-2018
124,Winnipeg,Manitoba,123.4,Jul-2018
125,Regina,Saskatchewan,123.4,Jul-2018
126,Saskatoon,Saskatchewan,125.8,Jul-2018
127,Edmonton,Alberta,131.0,Jul-2018
128,Calgary,Alberta,131.4,Jul-2018
129,Vancouver,British Columbia,155.7,Jul-2018
130,Victoria,British Columbia,150.0,Jul-2018
131,Whitehorse,Yukon,144.9,Jul-2018
132,Yellowknife,Northwest Territories,144.4,Jul-2018
134,St. John's,Newfoundland and Labrador,132.5,Aug-2018
135,Charlottetown and Summerside,Prince Edward Island,126.9,Aug-2018
136,Halifax,Nova Scotia,124.0,Aug-2018
137,Saint John,New Brunswick,126.5,Aug-2018
138,Québec,Quebec,131.1,Aug-2018
139,Montréal,Quebec,138.3,Aug-2018
140,Ottawa,Ontario,127.4,Aug-2018
141,Toronto,Ontario,133.6,Aug-2018
142,Thunder Bay,Ontario,145.3,Aug-2018
143,Winnipeg,Manitoba,118.0,Aug-2018
144,Regina,Saskatchewan,121.4,Aug-2018
145,Saskatoon,Saskatchewan,122.9,Aug-2018
146,Edmonton,Alberta,126.2,Aug-2018
147,Calgary,Alberta,129.7,Aug-2018
148,Vancouver,British Columbia,150.3,Aug-2018
149,Victoria,British Columbia,144.5,Aug-2018
150,Whitehorse,Yukon,144.9,Aug-2018
151,Yellowknife,Northwest Territories,145.6,Aug-2018
153,St. John's,Newfoundland and Labrador,131.2,Sep-2018
154,Charlottetown and Summerside,Prince Edward Island,126.5,Sep-2018
155,Halifax,Nova Scotia,123.5,Sep-2018
156,Saint John,New Brunswick,127.0,Sep-2018
157,Québec,Quebec,132.0,Sep-2018
158,Montréal,Quebec,140.0,Sep-2018
159,Ottawa,Ontario,123.1,Sep-2018
160,Toronto,Ontario,129.3,Sep-2018
161,Thunder Bay,Ontario,144.9,Sep-2018
162,Winnipeg,Manitoba,116.6,Sep-2018
163,Regina,Saskatchewan,120.6,Sep-2018
164,Saskatoon,Saskatchewan,121.8,Sep-2018
165,Edmonton,Alberta,126.6,Sep-2018
166,Calgary,Alberta,129.9,Sep-2018
167,Vancouver,British Columbia,151.9,Sep-2018
168,Victoria,British Columbia,142.7,Sep-2018
169,Whitehorse,Yukon,144.1,Sep-2018
170,Yellowknife,Northwest Territories,146.4,Sep-2018
172,St. John's,Newfoundland and Labrador,131.2,Oct-2018
173,Charlottetown and Summerside,Prince Edward Island,124.5,Oct-2018
174,Halifax,Nova Scotia,122.6,Oct-2018
175,Saint John,New Brunswick,126.2,Oct-2018
176,Québec,Quebec,127.5,Oct-2018
177,Montréal,Quebec,131.7,Oct-2018
178,Ottawa,Ontario,118.1,Oct-2018
179,Toronto,Ontario,124.0,Oct-2018
180,Thunder Bay,Ontario,142.3,Oct-2018
181,Winnipeg,Manitoba,111.3,Oct-2018
182,Regina,Saskatchewan,120.1,Oct-2018
183,Saskatoon,Saskatchewan,122.4,Oct-2018
184,Edmonton,Alberta,119.8,Oct-2018
185,Calgary,Alberta,121.4,Oct-2018
186,Vancouver,British Columbia,155.2,Oct-2018
187,Victoria,British Columbia,148.3,Oct-2018
188,Whitehorse,Yukon,144.7,Oct-2018
189,Yellowknife,Northwest Territories,146.0,Oct-2018
191,St. John's,Newfoundland and Labrador,118.6,Nov-2018
192,Charlottetown and Summerside,Prince Edward Island,111.6,Nov-2018
193,Halifax,Nova Scotia,108.0,Nov-2018
194,Saint John,New Brunswick,113.4,Nov-2018
