,province,city,lat,lng,3166-2_code,avg_gas_price,avg_wti_price,Date
0,Newfoundland and Labrador,St. John's,47.4817,-52.7971,CA-NL,120.3,63.58708333333333,Jan-2018
1,Newfoundland and Labrador,St. John's,47.4817,-52.7971,CA-NL,121.8,62.17095238095238,Feb-2018
2,Newfoundland and Labrador,St. John's,47.4817,-52.7971,CA-NL,122.1,62.77190476190477,Mar-2018
3,Newfoundland and Labrador,St. John's,47.4817,-52.7971,CA-NL,131.0,66.32523809523809,Apr-2018
4,Newfoundland and Labrador,St. John's,47.4817,-52.7971,CA-NL,137.1,69.75166666666667,May-2018
5,Newfoundland and Labrador,St. John's,47.4817,-52.7971,CA-NL,134.3,67.32285714285715,Jun-2018
6,Newfoundland and Labrador,St. John's,47.4817,-52.7971,CA-NL,134.9,70.74318181818181,Jul-2018
7,Newfoundland and Labrador,St. John's,47.4817,-52.7971,CA-NL,132.5,67.84521739130435,Aug-2018
8,Newfoundland and Labrador,St. John's,47.4817,-52.7971,CA-NL,131.2,70.07857142857144,Sep-2018
9,Newfoundland and Labrador,St. John's,47.4817,-52.7971,CA-NL,131.2,70.75782608695653,Oct-2018
10,Newfoundland and Labrador,St. John's,47.4817,-52.7971,CA-NL,118.6,56.57181818181818,Nov-2018
11,Newfoundland and Labrador,St. John's,47.4817,-52.7971,CA-NL,109.7,48.705714285714286,Dec-2018
12,Newfoundland and Labrador,St. John's,47.4817,-52.7971,CA-NL,107.3,51.51416666666666,Jan-2019
13,Newfoundland and Labrador,St. John's,47.4817,-52.7971,CA-NL,113.1,55.10619047619048,Feb-2019
14,Newfoundland and Labrador,St. John's,47.4817,-52.7971,CA-NL,122.8,58.16809523809523,Mar-2019
15,Newfoundland and Labrador,St. John's,47.4817,-52.7971,CA-NL,131.6,63.87095238095238,Apr-2019
16,Newfoundland and Labrador,St. John's,47.4817,-52.7971,CA-NL,131.1,60.70708333333334,May-2019
17,Newfoundland and Labrador,St. John's,47.4817,-52.7971,CA-NL,120.2,54.706500000000005,Jun-2019
18,Newfoundland and Labrador,St. John's,47.4817,-52.7971,CA-NL,128.3,57.51391304347826,Jul-2019
19,Newfoundland and Labrador,St. John's,47.4817,-52.7971,CA-NL,123.4,54.84409090909091,Aug-2019
20,Newfoundland and Labrador,St. John's,47.4817,-52.7971,CA-NL,121.4,56.76363636363636,Sep-2019
21,Newfoundland and Labrador,St. John's,47.4817,-52.7971,CA-NL,121.2,54.00565217391305,Oct-2019
22,Newfoundland and Labrador,St. John's,47.4817,-52.7971,CA-NL,122.0,57.118095238095236,Nov-2019
23,Newfoundland and Labrador,St. John's,47.4817,-52.7971,CA-NL,121.9,59.86772727272727,Dec-2019
24,Newfoundland and Labrador,St. John's,47.4817,-52.7971,CA-NL,123.6,57.809583333333336,Jan-2020
25,Newfoundland and Labrador,St. John's,47.4817,-52.7971,CA-NL,120.2,50.70761904761904,Feb-2020
26,Newfoundland and Labrador,St. John's,47.4817,-52.7971,CA-NL,101.4,30.44545454545454,Mar-2020
27,Newfoundland and Labrador,St. John's,47.4817,-52.7971,CA-NL,81.3,16.69904761904762,Apr-2020
28,Newfoundland and Labrador,St. John's,47.4817,-52.7971,CA-NL,91.5,28.97136363636364,May-2020
29,Newfoundland and Labrador,St. John's,47.4817,-52.7971,CA-NL,102.9,38.31363636363636,Jun-2020
30,Newfoundland and Labrador,St. John's,47.4817,-52.7971,CA-NL,107.2,40.74478260869565,Jul-2020
31,Newfoundland and Labrador,St. John's,47.4817,-52.7971,CA-NL,106.7,42.38809523809524,Aug-2020
32,Newfoundland and Labrador,St. John's,47.4817,-52.7971,CA-NL,106.6,39.56913043478261,Sep-2020
33,Newfoundland and Labrador,St. John's,47.4817,-52.7971,CA-NL,110.3,39.554545454545455,Oct-2020
34,Newfoundland and Labrador,St. John's,47.4817,-52.7971,CA-NL,112.0,41.51952380952381,Nov-2020
35,Newfoundland and Labrador,St. John's,47.4817,-52.7971,CA-NL,117.0,47.06818181818182,Dec-2020
36,Newfoundland and Labrador,St. John's,47.4817,-52.7971,CA-NL,124.8,52.11904761904762,Jan-2021
37,Newfoundland and Labrador,St. John's,47.4817,-52.7971,CA-NL,130.8,59.17238095238095,Feb-2021
38,Newfoundland and Labrador,St. John's,47.4817,-52.7971,CA-NL,141.6,62.35739130434783,Mar-2021
39,Newfoundland and Labrador,St. John's,47.4817,-52.7971,CA-NL,141.2,61.703809523809525,Apr-2021
40,Newfoundland and Labrador,St. John's,47.4817,-52.7971,CA-NL,143.5,65.30409090909092,May-2021
41,Newfoundland and Labrador,St. John's,47.4817,-52.7971,CA-NL,145.0,71.35272727272728,Jun-2021
42,Newfoundland and Labrador,St. John's,47.4817,-52.7971,CA-NL,153.4,72.71434782608696,Jul-2021
43,Newfoundland and Labrador,St. John's,47.4817,-52.7971,CA-NL,151.9,67.71136363636364,Aug-2021
44,Newfoundland and Labrador,St. John's,47.4817,-52.7971,CA-NL,153.8,71.30391304347826,Sep-2021
45,Newfoundland and Labrador,St. John's,47.4817,-52.7971,CA-NL,160.2,81.22285714285715,Oct-2021
46,Newfoundland and Labrador,St. John's,47.4817,-52.7971,CA-NL,159.1,78.59727272727274,Nov-2021
47,Newfoundland and Labrador,St. John's,47.4817,-52.7971,CA-NL,151.7,71.69,Dec-2021
48,Newfoundland and Labrador,St. John's,47.4817,-52.7971,CA-NL,159.2,83.05,Jan-2022
49,Newfoundland and Labrador,St. John's,47.4817,-52.7971,CA-NL,170.9,91.67714285714284,Feb-2022
50,Newfoundland and Labrador,St. John's,47.4817,-52.7971,CA-NL,187.8,108.26217391304348,Mar-2022
51,Newfoundland and Labrador,St. John's,47.4817,-52.7971,CA-NL,189.9,101.6405,Apr-2022
52,Newfoundland and Labrador,St. John's,47.4817,-52.7971,CA-NL,215.5,109.89869565217391,May-2022
53,Newfoundland and Labrador,St. John's,47.4817,-52.7971,CA-NL,219.7,113.86521739130436,Jun-2022
54,Newfoundland and Labrador,St. John's,47.4817,-52.7971,CA-NL,200.4,100.28545454545456,Jul-2022
